benchmark,cluster,ddrfreq,cpufreq,inst_retired,cpu_cycles,l1d_cache_refill,l2d_cache_rd,l2d_cache_refill,l3d_cache_rd,l3d_cache_refill,time_run,time_enabled
random_copy_24_6,1,1968000000,600000,3350680000.0,2946960000.0,128502000.0,195038000.0,146555000.0,224475000.0,217699000.0,4988040000.0,4988040000.0
random_copy_24_6,1,1968000000,816000,3571210000.0,3851860000.0,137292000.0,207877000.0,156542000.0,239134000.0,226532000.0,4986500000.0,4986500000.0
random_copy_24_6,1,1968000000,1008000,4182880000.0,4788740000.0,160857000.0,243494000.0,183524000.0,280099000.0,264839000.0,4978500000.0,4978500000.0
random_copy_24_6,1,1968000000,1200000,4305100000.0,5714400000.0,165764000.0,250553000.0,189754000.0,292645000.0,276441000.0,4977210000.0,4977210000.0
random_copy_24_6,1,1968000000,1416000,4519980000.0,6913780000.0,174317000.0,263120000.0,198969000.0,302373000.0,293243000.0,4985160000.0,4985160000.0
random_copy_24_6,1,1968000000,1608000,4664100000.0,8002670000.0,179931000.0,271496000.0,206140000.0,317070000.0,299082000.0,4979190000.0,4979190000.0
random_copy_24_6,1,1968000000,1800000,4852570000.0,9057970000.0,187233000.0,282475000.0,214755000.0,329826000.0,310435000.0,4987050000.0,4987050000.0
random_copy_24_6,1,1968000000,2016000,5056470000.0,9934530000.0,195112000.0,294385000.0,223324000.0,338268000.0,317981000.0,4980270000.0,4980270000.0
random_copy_24_6,1,1968000000,2208000,5130590000.0,11026400000.0,198149000.0,298692000.0,227093000.0,343128000.0,332627000.0,4984500000.0,4984500000.0
random_copy_24_6,1,1968000000,2352000,5152060000.0,11468900000.0,199024000.0,299939000.0,228281000.0,344578000.0,334020000.0,4975200000.0,4975200000.0
random_copy_24_6,1,2400000000,408000,2912390000.0,1961870000.0,111217000.0,169504000.0,125384000.0,195234000.0,185197000.0,4979230000.0,4979230000.0
random_copy_24_6,1,2400000000,600000,3207240000.0,2940060000.0,123038000.0,186666000.0,139974000.0,214817000.0,207691000.0,4978100000.0,4978100000.0
random_copy_24_6,1,2400000000,816000,3872040000.0,3854310000.0,148731000.0,225390000.0,169520000.0,259314000.0,244469000.0,4987570000.0,4987570000.0
random_copy_24_6,1,2400000000,1008000,4418680000.0,4787290000.0,169930000.0,257226000.0,193942000.0,295898000.0,287024000.0,4985580000.0,4985580000.0
random_copy_24_6,1,2400000000,1200000,4647340000.0,5711020000.0,178924000.0,270550000.0,204287000.0,311116000.0,301680000.0,4984510000.0,4984510000.0
random_copy_24_6,1,2400000000,1416000,4972140000.0,6924560000.0,191563000.0,289460000.0,218679000.0,332787000.0,314294000.0,4985260000.0,4985260000.0
random_copy_24_6,1,2400000000,1608000,5246560000.0,8002440000.0,202234000.0,305429000.0,231860000.0,356834000.0,336757000.0,4978810000.0,4978810000.0
random_copy_24_6,1,2400000000,1800000,5424730000.0,9041950000.0,209210000.0,315805000.0,239963000.0,368927000.0,347710000.0,4978970000.0,4978970000.0
random_copy_24_6,1,2400000000,2016000,5515300000.0,9918240000.0,212795000.0,321096000.0,243335000.0,368950000.0,352389000.0,4977680000.0,4977680000.0
random_copy_24_6,1,2400000000,2208000,5718560000.0,11033700000.0,220623000.0,332933000.0,252557000.0,382627000.0,360755000.0,4984620000.0,4984620000.0
random_copy_24_6,1,2400000000,2352000,5685430000.0,11492400000.0,219316000.0,330972000.0,251999000.0,386521000.0,362809000.0,4978060000.0,4978060000.0
random_copy_21_19,0,534000000,408000,656547000.0,1945840000.0,30172500.0,33971500.0,25901300.0,25901300.0,17928500.0,4983650000.0,4983650000.0
random_copy_21_19,0,534000000,600000,827381000.0,2924110000.0,38070000.0,42858300.0,32644000.0,32644000.0,22437100.0,4974670000.0,4974670000.0
random_copy_21_19,0,534000000,816000,949385000.0,3927960000.0,43406800.0,48764900.0,37494600.0,37494600.0,25753400.0,4983730000.0,4983730000.0
random_copy_21_19,0,534000000,1008000,1036110000.0,4892840000.0,47469600.0,53273800.0,40851500.0,40851500.0,27988000.0,4983710000.0,4983710000.0
random_copy_21_19,0,534000000,1200000,1104830000.0,6013330000.0,50615100.0,56802700.0,43577800.0,43577800.0,30017400.0,4982910000.0,4982910000.0
random_copy_21_19,0,534000000,1416000,1156540000.0,6935270000.0,52847200.0,59315000.0,45603900.0,45603900.0,31242000.0,4981830000.0,4981830000.0
random_copy_21_19,0,534000000,1608000,1200150000.0,7977480000.0,55013000.0,61926100.0,47338300.0,47338300.0,32420000.0,4982960000.0,4982960000.0
random_copy_21_19,0,534000000,1800000,1231050000.0,8920750000.0,56463400.0,63558000.0,48691200.0,48691200.0,33198800.0,4966470000.0,4966470000.0
random_copy_21_19,0,1320000000,408000,814226000.0,1945210000.0,37331900.0,41934400.0,32109500.0,32109400.0,22059600.0,4980050000.0,4980050000.0
random_copy_21_19,0,1320000000,600000,1084740000.0,2934350000.0,49756000.0,56007800.0,42893400.0,42893400.0,29389800.0,4987760000.0,4987760000.0
random_copy_21_19,0,1320000000,816000,1307590000.0,3932310000.0,60193900.0,67738900.0,51577500.0,51577500.0,35300200.0,4986210000.0,4986210000.0
random_copy_21_19,0,1320000000,1008000,1480920000.0,4895960000.0,67830900.0,76102600.0,58372300.0,58372300.0,39875900.0,4984840000.0,4984840000.0
random_copy_21_19,0,1320000000,1200000,1641980000.0,6019980000.0,75458800.0,84846000.0,64728000.0,64728000.0,44234800.0,4984310000.0,4984310000.0
random_copy_21_19,0,1320000000,1416000,1747360000.0,6919630000.0,80035700.0,89796000.0,68880700.0,68880700.0,47003900.0,4967910000.0,4967910000.0
random_copy_21_19,0,1320000000,1608000,1853240000.0,7969600000.0,85768300.0,97093800.0,73104900.0,73104900.0,49918900.0,4977340000.0,4977340000.0
random_copy_21_19,0,1320000000,1800000,1939560000.0,8944590000.0,88823800.0,99737500.0,76677000.0,76677000.0,52236800.0,4980200000.0,4980200000.0
random_copy_21_19,0,1968000000,408000,789490000.0,1946150000.0,36476500.0,41158700.0,31132100.0,31132100.0,21491300.0,4980460000.0,4980460000.0
random_copy_21_19,0,1968000000,600000,1043640000.0,2928960000.0,47869500.0,53881600.0,41163700.0,41163600.0,28193800.0,4978570000.0,4978570000.0
random_copy_21_19,0,1968000000,816000,1247620000.0,3929000000.0,57161000.0,64192400.0,49183600.0,49183600.0,33665100.0,4981310000.0,4981310000.0
random_copy_21_19,0,1968000000,1008000,1400760000.0,4887410000.0,64167800.0,71999600.0,55245400.0,55245400.0,37762200.0,4976540000.0,4976540000.0
random_copy_21_19,0,1968000000,1200000,1541500000.0,6005320000.0,71196800.0,80313800.0,60807400.0,60807400.0,41584900.0,4973840000.0,4973840000.0
random_copy_21_19,0,1968000000,1416000,1645380000.0,6943690000.0,75171800.0,84350500.0,64870100.0,64870100.0,44295300.0,4985800000.0,4985800000.0
random_copy_21_19,0,1968000000,1608000,1735120000.0,7968740000.0,80024500.0,90273500.0,68692000.0,68692000.0,46650000.0,4977340000.0,4977340000.0
